subject,scan,resp,pupil
1,1,bad,good
2,1,good,good
3,1,bad,good
4,1,bad,good
4,2,good,good
5,2,bad,good
6,1,bad,good
6,2,bad,good
7,2,bad,good
8,1,bad,good
10,1,good,good
11,1,good,good
12,1,good,good
12,2,bad,good
13,1,bad,good
13,2,bad,good
14,1,bad,good
14,2,bad,good
15,1,good,good
15,2,good,good
16,1,bad,good
16,2,bad,good
17,1,bad,good
17,2,good,good
18,1,bad,good
19,1,bad,good
19,2,bad,good
20,1,bad,good
20,2,bad,good
21,1,good,good
21,2,bad,good
22,1,good,good
22,2,good,good
